IDSite;NomSite;NumSite;Type;Village;Departement;Coord.Value;lat;lng;MetriqueX;MetriqueY
DLSUQU 2;Dolmen des Suquets;31876;Dolmen;Penne;81; N44.0896699 E1.7390973;44.0896699;1.7390973;552105.000481431;1898884.99702623
DLTEUL-2;Dolmen des Teulières;9370;Dolmen;Cahuzac-sur-Vère;81; N43.9756667 E1.8596667;43.9756667;1.8596667;561693.053491998;1886138.84193887
FOBERN-0;Oppidum de Berniquaut;11304;Fort de pierre;Sorèze;81; N43.44181 E2.07437;43.44181;2.07437;578740.356861741;1826665.08646413
FOCORD 0;Oppidum de Cordouls;31386;Fort de pierre;Puylaurens;81; N43.6162507 E2.0917482;43.6162507;2.0917482;580210.001417795;1846069.99521564
GTCALE-0;Grotte du Calel;28756;Grotte;Sorèze;81; N43.4458415 E2.0877;43.4458415;2.0877;579822.583868755;1827110.1667221
GTLAC0-0;Grotte de Lacalm;28754;Grotte;Aiguefonde;81; N43.5005592 E2.3279437;43.5005592;2.3279437;599301.076912885;1833166.67103244
GTMAGD-0;Grotte de la Magdeleine;29576;Grotte;Penne;81; N44.0739766 E1.7005729;44.0739766;1.7005729;549002.68995879;1897163.8447761
MHAMAL 3;Menhir des Amalrics;12493;Menhir;Saint-Amans-Soult;81; N43.46768 E2.49943;43.46768;2.49943;613198.624223188;1829521.68519835
MHBOU5 0;Statue-menhir du Bouscadié;12465;Menhir;Lasfaillades;81; N43.5540928 E2.5018813;43.5540928;2.5018813;613377.141140442;1839137.1380949
MHBRIO+3;Menhir du Briol;9377;Menhir;Labastide-Rouairoux;81; N43.51559 E2.66583;43.51559;2.66583;626662.037362626;1834894.72666663
MHCAND-3;Menhir de Candoubre;11294;Menhir;Murat-sur-Vèbre;81; N43.67882 E2.83298;43.67882;2.83298;640082.508938896;1853126.55694206
MHCANT-4;Statue-Menhir de Cantoul;12456;Menhir;Barre;81; N43.7343853 E2.8196283;43.7343853;2.8196283;638966.498270837;1859301.49549532
MHCOL7-2;Statue-menhir du Col-des-Saints;11296;Menhir;Murat-sur-Vèbre;81; N43.66151 E2.86463;43.66151;2.86463;642650.970129767;1851217.4066345
MHCOM4-0;Statue-menhir de Combeynart;12473;Menhir;Barre;81; N43.7377132 E2.8242126;43.7377132;2.8242126;639333.997843314;1859673.99726178
MHCOM5 0;Menhir des Combalets;22828;Menhir;Saussenac;81; N44.00387 E2.28013;44.00387;2.28013;595468.927703478;1889161.04315414
MHCROS-4;Menhir de la Crosse;9379;Menhir;Anglès;81; N43.50703 E2.62027;43.50703;2.62027;622976.207583322;1833927.91471602
MHDUGA-0;Menhir de Duganaoud;11303;Menhir;Masnau-Massuguiès;81; N43.80618 E2.50324;43.80618;2.50324;613427.840653126;1867183.14345539
MHFAYD-2;Menhir du Faydas;9380;Menhir;Labastide-Rouairoux;81; N43.50736 E2.61039;43.50736;2.61039;622175.917684535;1833961.80179758
