@id,historic,name,lng,lat
"node/279455079","archaeological_site","Limes-Kastell Heidenstock",8.51321,50.2537655
"node/279456363","archaeological_site","Limeskastell "Altes Jagdhaus"",8.492854,50.2446169
"node/279460397","archaeological_site","Limesturm WP 3/55",8.5031281,50.2483554
"node/279467304","archaeological_site","Limesturm WP 3/59",8.5273114,50.257194
"node/279522333","archaeological_site","Limes-Turm WP 3/52 Mittelberg",8.4798957,50.2428282
"node/279526575","archaeological_site","Limes-Kastell Maisel",8.3905369,50.2185023
"node/279542074","archaeological_site","Limes-Turm WP 3/37",8.3715239,50.2157433
"node/279617042","archaeological_site","Limes-Turm WP 3/38",8.3833571,50.2173544
"node/280443407","archaeological_site","Castro de Guifões",-8.6787167,41.2007543
"node/280761623","archaeological_site","undefined",-0.1656157,51.7831615
"node/281169718","archaeological_site","Limes-Turm WP 3/45*",8.4384761,50.2248884
"node/281527475","archaeological_site","Frühgeschichtliches Gehöft (Nachbau)",9.2509236,51.1352069
"node/281527513","archaeological_site","Dampfwalze",7.4318314,50.1487801
"node/281952422","archaeological_site","Barbury Castle",-1.78643,51.4854148
"node/282220017","archaeological_site","Opferstein",8.9927952,51.566737
"node/282459266","archaeological_site","Historische Erzgruben",8.7333984,46.7965804
"node/282464548","archaeological_site","Südwestturm des Römerkastells",8.9790346,50.080024
"node/283104471","archaeological_site","Heidnischbiel",7.8098525,46.3103163
"node/283115792","archaeological_site","Villa Romana de Liedena",-1.29705,42.6194206
"node/283188655","archaeological_site","Limesturm WP 3/61",8.5378083,50.2614146
"node/283188656","archaeological_site","Limesturm WP 3/62",8.5437505,50.2644145
"node/283188658","archaeological_site","Limesturm WP 3/63",8.5512547,50.2676965
"node/283247011","archaeological_site","Schreinshausen",8.2080967,49.3788018
"node/283588019","archaeological_site","Swaynes Howes (burial chambers)",-4.2804707,51.5849732
"node/283588070","archaeological_site","fort",-4.2612575,51.5938701
"node/286617944","archaeological_site","Dolmen Lesaka 2",-1.7600149,43.2650002
"node/286620061","archaeological_site","Estación arqueólogica del Jaizkibel",-1.8418666,43.3536878
"node/286666424","archaeological_site","Burgruine Burg Stein",10.208418,51.2221567
"node/286957511","archaeological_site","Fundstelle Homo heidelbergensis",8.800937,49.3485338
"node/287376496","archaeological_site","Dry Hill Fort",0.0451716,51.1569763
"node/287706466","archaeological_site","Hünenburg",8.3002167,51.3540285
"node/287937874","archaeological_site","undefined",6.2874435,49.4721655
"node/288163218","archaeological_site","undefined",11.2723407,50.0496236
"node/288250604","archaeological_site","Roman Villa",0.0130472,51.2720321
"node/288563840","archaeological_site","Vogelsburg",9.9485211,51.7911198
"node/288570876","archaeological_site","Wachturm WP 9/91",9.5921232,49.0003588
"node/288585567","archaeological_site","undefined",8.8882124,48.4145245
"node/289644789","archaeological_site","Allée Couverte de Pors Poulhan",-4.4656083,47.9862607
"node/289840964","archaeological_site","Hügelgrab",9.6399271,52.3524226
"node/290005432","archaeological_site","Roman Villa",-0.1065584,51.2543485
"node/290006490","archaeological_site","Tumuh",-0.0726388,51.2505848
"node/290204861","archaeological_site","Fours à chaux de Larmandière",-1.7256103,48.049482
"node/290205368","archaeological_site","Klenze-Bau",11.6353812,50.3638943
"node/290752235","archaeological_site","Pechofen",11.8111226,50.8970793
"node/291079209","archaeological_site","Langer Stein",8.1445165,49.8538772
"node/291158206","archaeological_site","De Heimolen",4.641691,51.0050193
"node/291833865","archaeological_site","Pfahlberg",11.6161315,52.1831824
"node/292020319","archaeological_site","Twmpath Motte and Bailey",-3.2212896,51.532239
"node/292056929","archaeological_site","Römische Villa",7.4262365,50.3697045
"node/292585924","archaeological_site","Ruinas de la Ciudad Romana de Cáparra",-6.099511,40.1643658
"node/292791561","archaeological_site","Stolleneingang Silberblick",7.7122809,51.1892174
"node/292867768","archaeological_site","Hügelgrab",8.6329589,50.2404208
"node/292919714","archaeological_site","Krahnsattel",11.7820287,47.4502806
"node/292932102","archaeological_site","Carreg Coetan",-4.8282774,52.0186513
"node/293179176","archaeological_site","Silberblick",7.7111241,51.1895762
"node/293179177","archaeological_site","Bleigrube Silberstern",7.706813,51.1893933
"node/293179178","archaeological_site","undefined",7.709683,51.1901313
"node/293179180","archaeological_site","Kupfergrube Silberberg",7.7020659,51.1903316
"node/293471103","archaeological_site","Bursledon Windmill",-1.3149986,50.8949062
"node/293706495","archaeological_site","Der Wartturm auf dem Viethberg",8.8392322,51.9342454
"node/293871331","archaeological_site","Menhir de Guihalon",-2.4256695,48.4768632
"node/293893912","archaeological_site","Hügelgrab",7.0835757,51.7913673
"node/293893913","archaeological_site","Teufelssteine",6.9783865,51.8334693
"node/294230378","archaeological_site","Ringwallanlage Holterhöfchen",6.9457616,51.1670739
"node/294867896","archaeological_site","Eremitage",7.8709034,49.8874035
"node/294924180","archaeological_site","Rote-Brunnen-Höhle (Maurushöhle)",8.9957563,48.0529678
"node/295384574","archaeological_site","Dolmen",-1.4476543,46.435013
"node/295444342","archaeological_site","Hohle Fels",9.7541001,48.3792634
"node/295811117","archaeological_site","Hünengrab",8.3697193,49.033697
"node/296020075","archaeological_site","Chronicle Hills",0.1194014,52.1071631
"node/296065260","archaeological_site","Dolmen de Kerguntuil",-3.5190896,48.812032
"node/296065261","archaeological_site","Allée couverte de Kerguntuil",-3.5185078,48.811006
"node/296103932","archaeological_site","Menhir de Lannoulouarn",-4.5872923,48.5513387
"node/296104843","archaeological_site","Allée couverte du Ribl",-4.6503341,48.5692506
"node/296140849","archaeological_site","Allée couverte de l'Île Grande, dite Ty-Lia ou Ty-ar-C'Horrandened",-3.5719587,48.8030782
"node/296181499","archaeological_site","Vogelherdhöhle",10.1941422,48.5586503
"node/296758154","archaeological_site","Rennenburg",7.3405742,50.7976149
"node/298101474","archaeological_site","Hameau médiéval de Pontkalleg",-3.3602515,47.957927
"node/298136503","archaeological_site","undefined",-0.4017668,51.2026085
"node/298151911","archaeological_site","Hügelgrab",8.9529986,51.9225863
"node/298456267","archaeological_site","Le Doigt de Gargantua",-2.2891015,48.6651231
"node/298889678","archaeological_site","Am Galgen",8.8338657,48.8135757
"node/298984488","archaeological_site","Allée Couverte de Prajou Menhir",-3.5646974,48.7949144
"node/299003619","archaeological_site","Huegelgrab",9.9460946,49.5681962
"node/299159063","archaeological_site","Prailehaitz",-2.3680397,43.2771426
"node/299474580","archaeological_site","Habichtsburg",10.3930773,50.5862409
"node/299834686","archaeological_site","Roman Temple",-0.4963953,51.1936914
"node/300100508","archaeological_site","Wachtposten Wp5/13",8.9829253,50.1112929
"node/300414587","archaeological_site","Keltenschanze",12.075305,48.927744
"node/300414766","archaeological_site","Celtic tumulus",12.068696,48.9401486
"node/300619229","archaeological_site","Steingräber",9.4087292,51.0917416
"node/301249997","archaeological_site","Dunmowes Manor",0.2339404,52.1832578
"node/301265348","archaeological_site","Camp",-0.5646986,51.139914
"node/301390873","archaeological_site","Johannisberg",11.6116266,50.9000884
"node/301455699","archaeological_site","Area Archeologica San Martino",10.8180687,45.9174886
"node/301461415","archaeological_site","Ringwall Altkönig",8.4810417,50.211431
"node/301461840","archaeological_site","undefined",-0.7861887,51.159294
"node/301462516","archaeological_site","Jenzig",11.623627,50.9401265
"node/301463409","archaeological_site","Burg Greifenberg",11.6100831,50.92476
"node/301463549","archaeological_site","Königspfalz Kirchberg",11.6167025,50.9243539
"node/301463936","archaeological_site","Burg Windberg",11.6280902,50.923763
"node/301594567","archaeological_site","Tumulus",-0.6991068,51.1604798
"node/301595998","archaeological_site","Powerham Castle",-0.8523581,51.2150756
"node/301595999","archaeological_site","Roman Villa",-0.8627212,51.2174467
"node/301596503","archaeological_site","Barley Pound",-0.8632314,51.2156148
"node/301598165","archaeological_site","Tumulus",-0.7221122,51.1970648
"node/301599834","archaeological_site","Earthwork",-0.6924599,51.2120826
"node/301600187","archaeological_site","Tumulus",-0.6568429,51.2208545
"node/301601097","archaeological_site","Roman Villa",-0.6310109,51.222815
